,Month,Portfolio Excess Return,Beta,Adjusted Beta
0,01,0.01609376340889836,0.031185153186411213,0.35412343545760744
1,02,-0.005115372932773606,1.2960771260391613,1.1973847506927742
2,03,0.014122999657085373,0.9860233778538572,0.9906822519025715
3,04,0.022249967957019858,0.2540322497655181,0.5026881665103453
4,05,0.008763997848224755,0.641945082500677,0.7612967216671179
5,06,0.007286602928676496,0.7087867597941205,0.805857839862747
6,07,0.009547693491077442,-1.539271928091626,-0.6928479520610842
7,08,-0.00019454276067724444,0.08894164389424769,0.3926277625961651
8,09,0.0017182172157465979,0.5808287540771183,0.7205525027180788
9,10,-0.026930948965625836,1.6858358799077595,1.4572239199385062
10,11,0.010131276934545932,0.8848172545231908,0.9232115030154606
11,12,0.00411168125101655,0.4403840357548607,0.6269226905032405
12,01,0.020247854001288486,0.9002302424983166,0.9334868283322111
13,02,0.009571742889175837,0.6773272379507044,0.7848848253004695
14,03,0.008424777034017398,0.9102831630914229,0.9401887753942819
15,04,0.010391984353978033,0.44949401018932655,0.6329960067928844
16,05,-0.011071790421999397,0.7983799039287761,0.8655866026191841
17,06,0.023965204798375512,1.2029929318986579,1.1353286212657718
18,07,0.01338317689569281,0.7444548388884482,0.8296365592589654
19,08,0.0018398095893401452,0.6975610183320949,0.7983740122213966
20,09,0.01659835881830246,1.0144100530248035,1.0096067020165356
21,10,0.00665147678614154,0.9095649282902456,0.9397099521934971
22,11,0.020310966886262775,0.9236497407978823,0.9490998271985882
23,12,0.00915418426612251,0.5377653045488143,0.6918435363658761
24,01,0.001678768826769081,1.7612345458004657,1.5074896972003105
25,02,0.00021438123539253146,0.9285830857009856,0.952388723800657
26,03,-0.04982635855313851,0.7652808792154416,0.8435205861436277
27,04,0.011569891196907517,0.6936493279706706,0.7957662186471137
28,05,0.02286817093571392,0.7192703405560457,0.8128468937040304
29,06,0.008055793775554614,0.8124315402804854,0.8749543601869902
30,07,0.007672505159082009,0.3707301893130317,0.5804867928753544
31,08,0.016180497949706867,1.084174226615619,1.0561161510770793
32,09,0.00893335770741242,0.9181145650947248,0.9454097100631498
33,10,0.0085256667875864,1.0680932533305623,1.045395502220375
34,11,0.05661273791312796,0.7749095301928971,0.8499396867952647
35,12,0.0190066830991646,0.22067221317007635,0.4804481421133842
36,01,0.005208683285868645,0.7836868078445831,0.8557912052297221
37,02,0.0204581210438205,1.2053977996971714,1.136931866464781
38,03,0.022653518707128124,1.5421555734450592,1.3614370489633727
39,04,0.015791797680133918,0.9917907975434876,0.9945271983623252
40,05,0.026695809591501144,0.1084975866434903,0.40566505776232686
41,06,0.019273541613738832,0.27890142536481327,0.5192676169098756
42,07,0.01303889649751026,0.646435209432982,0.764290139621988
43,08,0.016801958229203842,0.9994630840738782,0.999642056049252
44,09,0.009889463210559654,0.8691819072474208,0.9127879381649473
45,10,0.01897653491862087,1.6533057029467995,1.4355371352978663
46,11,0.009631236531824496,1.1926228863080222,1.1284152575386814
47,12,0.026655973649247787,1.0118861184516423,1.0079240789677615
48,01,-0.015131785916467539,0.3060831427689187,0.5373887618459458
49,02,0.0033156686551325154,-0.2816372630710683,0.14557515795262113
50,03,0.008764831186773866,0.9316655624406985,0.9544437082937991
51,04,0.01050921918350543,1.2721818503396063,1.181454566893071
52,05,0.0007437483752757391,1.2308385854675485,1.153892390311699
53,06,-0.01631085694002369,1.1644121280166146,1.1096080853444097
54,07,0.018247368689209516,0.927292527309566,0.9515283515397106
55,08,-0.019170738804124676,1.3013808245798422,1.2009205497198947
56,09,-0.027621675283726242,0.6561082794694183,0.7707388529796122
57,10,0.008903568408698673,1.003856504120795,1.0025710027471966
58,11,-0.0027911159547151015,1.7926241439720587,1.5284160959813724
59,12,-0.03187885911079467,0.8484942051080614,0.8989961367387076
60,01,-0.01402661952180391,0.8179919549594802,0.8786613033063202
61,02,-0.04725498553622166,0.6272779898328386,0.751518659888559
62,03,-0.036636432570026446,0.7573895573367068,0.8382597048911378
63,04,-0.04747936297239817,0.2786057256922576,0.5190704837948383
64,05,-0.06808118082514122,1.0488813582247132,1.0325875721498088
65,06,-0.05855273767576345,1.1759886046766868,1.1173257364511244
66,07,-0.06928794327449922,1.2015104748613021,1.1343403165742014
67,08,-0.0770793025795334,0.9665638338289009,0.9777092225526005
68,09,-0.0762244567469052,1.3218569156519027,1.2145712771012684
69,10,-0.08856686223074085,0.2790724276222485,0.5193816184148323
70,11,-0.054374851261500365,1.0351735698953592,1.0234490465969062
71,12,-0.05605089987094204,-0.033308591876813676,0.31112760541545753
