,Beta
Amplifon 2018-2023,0.8569242090776544
Brunello cucinelli 2018-2023,0.8583976868331538
A2A 2018-2023,0.869919192735463
Enel 2018-2023,0.9218305307606871
Interpump 2018-2023,0.9292605685972878
Moncler 2018-2023,0.9444417673054883
Prysmian 2018-2023,0.9540062570887533
Pirelli 2018-2023,0.9666457463365647
Generali Ass 2018-2023,0.9703151349325763
