,Beta
Eni 2018-2023,1.0061260419014262
Telecom 2018-2023,1.0077919725085323
Leonardo 2018-2023,1.0095129427902818
Fineco 2018-2023,1.0163377939617675
Saipem 2018-2023,1.025014474186801
Poste Italiane 2018-2023,1.06578477395838
Banca Monte dei Paschi di Siena 2018-2023,1.0810784854538822
Banca Mediolanum 2018-2023,1.0811971221509626
Banco Bpm 2018-2023,1.0860930291646542
