,Beta
Diasorin 2018-2023,0.5640824613853551
Recordati 2018-2023,0.6826298172076457
Inwit 2018-2023,0.7096816274694255
Terna 2018-2023,0.7564662126796171
Italgas 2018-2023,0.779239979286386
Ferrari 2018-2023,0.7971309311274313
Hera 2018-2023,0.8026541928149
Campari 2018-2023,0.8066595351912373
Snam 2018-2023,0.813643045054932
Erg 2018-2023,0.8180494516015249
