,Beta
Azimut 2018-2023,1.0860930291646542
Banca pop Sondrio 2018-2023,1.0925332412217128
Unipol 2018-2023,1.1032080363517882
Tenaris 2018-2023,1.1119274675234183
Stellantis 2018-2023,1.1152577319095773
BPER banca 2018-2023,1.1395462721448948
Stmicroeletronics 2018-2023,1.1536720850371691
Mediobanca 2018-2023,1.1565202585549148
Intesa San Paolo 2018-2023,1.1660660480745848
Unicredit 2018-2023,1.2210089409493659
