,Month,Portfolio Excess Return,Beta,Adjusted Beta
0,01,0.005621149905797061,1.0151678610932389,1.0101119073954925
1,02,-0.00856575141849564,0.9350721969820085,0.9567147979880057
2,03,-0.04233070189556372,0.9580861833786989,0.9720574555857993
3,04,0.004429368962087974,0.9509792499462035,0.9673194999641357
4,05,0.01605502546284306,0.9370476589084602,0.9580317726056402
5,06,0.014654079124352324,0.7479167407946248,0.8319444938630831
6,07,0.011110540298490675,0.47995786964964415,0.6533052464330961
7,08,0.014627303490174649,0.9006056768384921,0.9337371178923282
8,09,-6.209818205162292e-05,0.8991072415835322,0.9327381610556882
9,10,0.0008712629295755004,0.8980393576953006,0.9320262384635338
10,11,0.06344844725857933,0.8185413175977297,0.8790275450651532
11,12,0.007616439825571506,0.3210347446423413,0.5473564964282275
