,Beta
Terna 2019,0.5406663571061516
A2A 2019,0.5726079143909282
Ferrari 2019,0.5784172455294375
Campari 2019,0.6000578488086883
Generali Ass 2019,0.821139920325974
Banca Mediolanum 2019,0.8240047267753383
Banca pop Sondrio 2019,0.856271567064157
Moncler 2019,0.8922108939715172
Poste Italiane 2019,0.9282876829512055
