,Beta
Eni 2019,0.9810831341242476
Interpump 2019,0.9923922288859491
Mediobanca 2019,1.0191969916927448
Unipol 2019,1.1277882449092052
Azimut 2019,1.1291625067361726
Banco Bpm 2019,1.1291625067361726
Telecom 2019,1.1341795421708403
Leonardo 2019,1.229616997068753
BPER banca 2019,1.2478485633085246
