,Beta
Prysmian 2019,1.2847059609805638
Intesa San Paolo 2019,1.2953371404322152
Fineco 2019,1.3549873714356149
Stmicroeletronics 2019,1.4191308797995221
Tenaris 2019,1.4951052874831876
Stellantis 2019,1.5679154674168725
Saipem 2019,1.6654528887720907
Pirelli 2019,1.7250783525202125
Unicredit 2019,1.7470300201167368
Banca Monte dei Paschi di Siena 2019,1.9229658044444362
