,Beta
Inwit 2019,0.09047688786061535
Diasorin 2019,0.10428244403197531
Amplifon 2019,0.1428318009408399
Brunello cucinelli 2019,0.338281176335164
Hera 2019,0.3456856083479719
Erg 2019,0.4241227345345042
Recordati 2019,0.4835676744416989
Italgas 2019,0.49609602600449654
Enel 2019,0.5256174604046451
Snam 2019,0.5338803543640408
