,Beta
Mediobanca 2021,0.9881100915269674
Prysmian 2021,0.9915237535435848
Pirelli 2021,1.0735977349105528
Amplifon 2021,1.096253163161456
Banca Mediolanum 2021,1.1358234144459818
Tenaris 2021,1.1466231406190346
Poste Italiane 2021,1.1680873879911007
Moncler 2021,1.176060493440726
Fineco 2021,1.203326858435224
