,Beta
Banca Monte dei Paschi di Siena 2021,1.2319609315330486
Interpump 2021,1.2734547217313799
Saipem 2021,1.313709805155589
Intesa San Paolo 2021,1.3340417644466962
Unipol 2021,1.3345263022129887
Brunello cucinelli 2021,1.354658987648443
Banca pop Sondrio 2021,1.3961681328910356
Unicredit 2021,1.4305849817651306
BPER banca 2021,1.4844851823288647
Stellantis 2021,1.8204011604840653
