,Beta
Leonardo 2021,0.7261965179278623
Campari 2021,0.7653160618449377
Hera 2021,0.7713982812938343
Eni 2021,0.846175812592892
Azimut 2021,0.8563139548559668
Banco Bpm 2021,0.8563139548559668
Generali Ass 2021,0.8767569860813434
Stmicroeletronics 2021,0.8966027575566193
A2A 2021,0.9074290026198891
