,Month,Portfolio Excess Return,Beta,Adjusted Beta
0,01,-0.0011143249729369592,1.2712989269381967,1.1808659512921311
1,02,0.0031305168978808242,0.9363831838684356,0.9575887892456236
2,03,0.016513273846273813,0.9452086942249911,0.9634724628166607
3,04,0.010637138488550713,1.0659421117456496,1.0439614078304331
4,05,0.008015132459351988,1.4068152360486286,1.2712101573657524
5,06,-0.019944890857722573,1.319452632788127,1.2129684218587513
6,07,0.014893087749720257,1.0788037160617745,1.0525358107078497
7,08,-0.017957918033368873,1.3458133766698877,1.2305422511132584
8,09,-0.01277868892061881,0.9438339710405407,0.9625559806936939
9,10,0.009536678243613133,1.042672671451998,1.0284484476346654
10,11,-0.008675987252075355,1.2148301417553167,1.1432200945035444
11,12,-0.03383862244102382,1.1518499736398515,1.101233315759901
