,Beta
Diasorin 2020,-0.13991312350886076
Inwit 2020,0.412998066194952
Recordati 2020,0.4162762327885201
Ferrari 2020,0.5469428173895186
Italgas 2020,0.5772991035470524
Interpump 2020,0.614498947356524
Terna 2020,0.6173404653344043
Hera 2020,0.6618157498755397
Brunello cucinelli 2020,0.6649131867846915
Campari 2020,0.6679434059543039
