,Beta
Moncler 2020,0.6697333028408377
Fineco 2020,0.6820700506615877
Erg 2020,0.7201430417258902
Amplifon 2020,0.7380020759380186
Snam 2020,0.74448346113336
Pirelli 2020,0.7565176142218164
Prysmian 2020,0.837577538089036
Telecom 2020,0.8564326976726873
A2A 2020,0.9433800542690816
