,Beta
Intesa San Paolo 2020,1.1916449975038605
Banco Bpm 2020,1.197754833607648
Azimut 2020,1.197754833607648
Banca pop Sondrio 2020,1.2051081309116731
Stmicroeletronics 2020,1.225968791671644
Eni 2020,1.2392968552591068
Unicredit 2020,1.3255982354298923
Mediobanca 2020,1.4083508008196977
Tenaris 2020,1.4141095051576815
Leonardo 2020,1.60590470141273
