,Beta
Generali Ass 2020,1.0030722243541348
Banca Monte dei Paschi di Siena 2020,1.0121274398517996
Enel 2020,1.0263291273954096
Stellantis 2020,1.0815120148409083
Banca Mediolanum 2020,1.1302184800408868
Poste Italiane 2020,1.1367970494680912
BPER banca 2020,1.1557344369648324
Saipem 2020,1.1619325293525926
Unipol 2020,1.1741258892054247
