,Stock,Beta
10,Amplifon ,0.7676872212099771
11,Moncler ,0.7733543754633281
12,Erg ,0.7739543807041135
13,Eni ,0.7886171878131047
14,Tenaris ,0.81212491702849
15,Enel ,0.8194707340342249
16,Interpump ,0.8213022384221158
17,Diasorin ,0.8351132563485498
18,Generali Ass ,0.8747540399285572
