Date,Prysmian ,Mediobanca ,Leonardo ,Stellantis ,Fineco ,Stmicroeletronics ,Banca Monte dei Paschi di Siena ,Unicredit ,Telecom ,Intesa San Paolo 
2019-01-04,0.0197999749213441,0.053245411313198696,0.0229541998116497,0.0388887960978304,0.024575209877841203,-0.1025417164601548,0.0193573918155446,0.0367171751333365,0.0519495256967323,0.0356024828094886
2019-01-11,0.0677800143781449,0.007249164312149101,0.021548165498779498,0.0882953034402783,0.0482027288354103,0.1299191920081751,-0.0021859031952461,0.0420214010127802,-0.0062680906050471,0.0103062070982238
2019-01-18,0.0270789776688567,0.0205494385032044,-0.0024863328495403,0.042411248079191194,0.064502029708677,0.051362739112738996,-0.1809117453606919,0.011732918893795,-0.0196133024985403,0.0182324809700492
2019-01-25,0.0107931982065746,0.017055090124397,0.0502196410126482,-0.0018958510184422994,-0.0006360797352514998,0.12242253858117,0.0164305026492738,0.0359239710420814,-0.053521769939374804,0.0173698609460196
2019-02-01,0.016236744835516598,-0.0713010955944758,0.039042170695793195,0.0318113618994439,-0.0461200702850449,-0.0289247491638796,-0.0235518376814764,-0.10473907541286209,0.0551509621654155,-0.04593512118784571
2019-02-08,-0.048146942540853895,0.0536565040650405,0.0037179457182965,-0.1346402670220431,0.036362582781456904,-0.0233495686556435,0.0214538401207236,0.0464623929881778,-0.021341857821864,0.0097719606644248
2019-02-15,0.051784411268087,0.0762923513534966,0.0459868856587751,0.007447910450742201,0.08526530190239841,0.0919761106692421,0.0966603545645651,0.10134900201400761,0.0929625162972619,0.04107274670758
2019-02-22,-0.061832802547770696,-0.0017697447628218996,-0.012147124887690899,0.0122299933634943,-0.027807416267942402,0.0120625,-0.0433879288788868,-0.0032339629365644995,0.0513683800623054,0.0018074010747434004
2019-03-01,0.0262721927120905,0.050534585569469194,0.009704252815008599,-0.011692980912058299,0.0939981748355449,-0.006235721137642301,0.0531691941843961,0.0793014776964507,-0.0068743313213375,0.0603455134483537
2019-03-08,-0.0562156207921006,0.006716984658099799,-0.0328143178881945,-0.0086636039096251,0.0218603633447243,-0.047101259360109,-0.0251501552529967,-0.061453502105371295,0.0508578397363626,-0.013437673772011001
