,Stock,Beta
0,Recordati ,0.3932353162061674
1,Brunello cucinelli ,0.428006045624151
2,Campari ,0.4655059625439756
3,Saipem ,0.4815718461416633
4,Pirelli ,0.5699506607933083
5,Hera ,0.5854757435161044
6,Terna ,0.6179065906776593
7,A2A ,0.7073327419994382
8,Snam ,0.7087770142344314
9,Italgas ,0.7499205826688488
