,Month,Portfolio Excess Return,Beta,Adjusted Beta
0,01,0.019593874962643705,1.5988344136194281,1.399222942412952
1,02,0.015667784479285952,0.7563597602417317,0.8375731734944878
2,03,0.011937180763855434,0.04813553862568377,0.36542369241712247
3,04,0.005238160190503499,0.35953499713573295,0.573023331423822
4,05,-0.004322806740053935,0.6272802282124658,0.7515201521416438
5,06,0.013042388062724062,1.6970946151024697,1.4647297434016464
6,07,0.014134452151137691,0.9731703187203921,0.9821135458135948
7,08,0.0023576645591372796,0.8004101375432215,0.866940091695481
8,09,0.011084635780078652,0.3181674701672108,0.5454449801114738
9,10,0.005274310797890031,0.40736545420233333,0.6049103028015556
10,11,0.010475290618766259,0.788433661768293,0.8589557745121954
11,12,0.009440573313597371,1.1121780813695545,1.074785387579703
