,Stock,Beta
19,Banca Mediolanum ,0.9343484353629566
20,Inwit ,0.9717369341526872
21,Azimut ,0.98693434276318
22,Banco Bpm ,0.98693434276318
23,Ferrari ,1.017629505938334
24,BPER banca ,1.0313094517367123
25,Banca pop Sondrio ,1.0537295616543207
26,Unipol ,1.0808847493147935
27,Poste Italiane ,1.089143036096132
