,Stock,Beta
28,Prysmian ,1.099756312852627
29,Mediobanca ,1.1164934304779937
30,Leonardo ,1.1235064977596174
31,Stellantis ,1.140059316043125
32,Fineco ,1.2050306240757982
33,Stmicroeletronics ,1.2401473205355538
34,Banca Monte dei Paschi di Siena ,1.3139661598011885
35,Unicredit ,1.3174149704688785
36,Telecom ,1.3192726431515176
37,Intesa San Paolo ,1.3510832092330696
